Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00677096096599195,-7.40324226081856E-09,0.306370957352742,0,0,0,40.1297473551325,1.26922453974044,1.04912166627978E-07,-0.0347492884684778,3.34453299992272,1.64404574479948E-08,4.11157029873108,0,0,0,0,0,0,package://car_robot/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://car_robot/meshes/base_link.STL,,chasis-1,base-link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front-left-hinge,3.88578058618805E-16,-6.10622663543836E-16,-0.118799628145585,0,0,0,0.633612488698204,0.00419900401400481,0.000173645794203951,-1.07917330807736E-18,0.00247709562888137,-1.52690795674631E-18,0.00202629416547586,0,0,0,0,0,0,package://car_robot/meshes/front-left-hinge.STL,1,1,0,1,0,0,0,0,0,0,package://car_robot/meshes/front-left-hinge.STL,,wheel_hinge-1,Coordinate System7,Axis8,fl-hinge,revolute,0.254,0.1397,0.3021,0,0,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
front-left-wheeel,-0.00757015271891448,2.77555756156289E-17,-0.0758230359970678,0,0,0,2.43249992415545,0.00760381168766053,-8.24720643585744E-19,0.00051389219741489,0.00755250482076537,-3.62054828260286E-19,0.0126996752980334,0,0,0,0,0,0,package://car_robot/meshes/front-left-wheeel.STL,0,0,0,1,0,0,0,0,0,0,package://car_robot/meshes/front-left-wheeel.STL,,wheel-6,Coordinate System10,Axis11,fl-wheel,revolute,0.0075702,-0.075823,-0.2005,1.5708,0,0,front-left-hinge,0.099346,0,0.99505,0,0,0,0,,,,,,,,
front-left-axle,-0.00757015271891331,-2.77555756156289E-17,-0.0758230359970657,0,0,0,0.0772222198144586,0.000151131456795402,-2.82674264757069E-21,-1.44671657852651E-05,0.000152575854964957,-2.83127986289767E-20,7.67198408649241E-06,0,0,0,0,0,0,package://car_robot/meshes/front-left-axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_robot/meshes/front-left-axle.STL,,wheel_pin-5,Coordinate System10,Axis11,fl-axle,revolute,0.0075702,-0.075823,-0.2005,1.5708,0,0,front-left-hinge,0.099346,0,0.99505,0,0,0,0,,,,,,,,
front-right-hinge,-5.55111512312578E-17,-8.32667268468867E-17,-0.118799628145586,0,0,0,0.633612488698204,0.00392482649211829,0.000653519794869028,-1.24551730795087E-19,0.0027512731507679,-4.19591111294197E-19,0.00202629416547586,0,0,0,0,0,0,package://car_robot/meshes/front-right-hinge.STL,1,1,0,1,0,0,0,0,0,0,package://car_robot/meshes/front-right-hinge.STL,,wheel_hinge-2,Coordinate System8,Axis9,fr-hinge,revolute,0.254,-0.1397,0.3021,0,0,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
front-right-wheel,-0.031042070676579,8.32667268468867E-17,-0.0695904436550727,0,0,0,2.43249992415545,0.0084152202786371,-2.50693797234352E-18,0.00193404467398112,0.00755250482076537,-3.20124118023232E-18,0.0118882667070568,0,0,0,0,0,0,package://car_robot/meshes/front-right-wheel.STL,0,0,0,1,0,0,0,0,0,0,package://car_robot/meshes/front-right-wheel.STL,,wheel-2,Coordinate System12,Axis16,fr-wheel,revolute,-0.031042,0.06959,-0.2005,1.5708,0,3.1416,front-right-hinge,-0.40738,0,-0.91326,0,0,0,0,,,,,,,,
front-right-axle,-0.0310420706765801,8.32667268468867E-17,-0.0695904436550753,0,0,0,0.0772222198144586,0.000128288567441763,3.72486511718043E-20,-5.44474990578691E-05,0.000152575854964957,8.14822018357058E-20,3.05148734401304E-05,0,0,0,0,0,0,package://car_robot/meshes/front-right-axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_robot/meshes/front-right-axle.STL,,wheel_pin-2,Coordinate System12,Axis16,fr-axle,revolute,-0.031042,0.06959,-0.2005,1.5708,0,3.1416,front-right-hinge,-0.40738,0,-0.91326,0,0,0,0,,,,,,,,
rear-left-wheel,-2.22044604925031E-16,-2.77555756156289E-17,-0.0762,0,0,0,2.43249992415545,0.00755250482076536,6.17126500150209E-19,7.63769608539205E-20,0.00755250482076537,2.88296133927474E-19,0.0127509821649285,0,0,0,0,0,0,package://car_robot/meshes/rear-left-wheel.STL,0,0,0,1,0,0,0,0,0,0,package://car_robot/meshes/rear-left-wheel.STL,,wheel-7,Coordinate System11,Axis12,rl-wheel,revolute,-0.254,0.2159,0.1016,1.5708,0,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
rear-left-axle,0,0,-0.0762,0,0,0,0.0772222198144586,0.000152575854964957,6.89140711930171E-22,-5.62078824877413E-21,0.000152575854964957,-2.78728394910108E-20,6.22758591693701E-06,0,0,0,0,0,0,package://car_robot/meshes/rear-left-axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_robot/meshes/rear-left-axle.STL,,wheel_pin-3,Coordinate System11,Axis12,rl-axle,revolute,-0.254,0.2159,0.1016,1.5708,0,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
rear-right-wheel,-5.55111512312578E-17,2.77555756156289E-17,-0.0762,0,0,0,2.43249992415545,0.00755250482076537,5.66507546524498E-20,3.1159769861265E-19,0.00755250482076537,5.69002767599304E-19,0.0127509821649285,0,0,0,0,0,0,package://car_robot/meshes/rear-right-wheel.STL,0,0,0,1,0,0,0,0,0,0,package://car_robot/meshes/rear-right-wheel.STL,,wheel-8,Coordinate System13,Axis17,rr-wheel,revolute,-0.254,-0.2159,0.1016,1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
