Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00513649810212103,9.03758425849811E-10,0.0606164652705573,0,0,0,38.8531859861952,1.22050289180843,-1.52624899021945E-08,-0.0908849181337663,3.18537569093476,-1.58588484113967E-10,3.95556719098638,0,0,0,0,0,0,package://cyber_shopper/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cyber_shopper/meshes/base_link.STL,,chasis-1,robot,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front-left-hinge,5.55111512312578E-17,5.55111512312578E-17,-0.118799628145585,0,0,0,0.633612488698204,0.00421598497152854,2.499711540899E-05,1.39348290409888E-18,0.00246011467135765,-2.18519923436717E-19,0.00202629416547586,0,0,0,0,0,0,package://cyber_shopper/meshes/front-left-hinge.STL,1,1,0,1,0,0,0,0,0,0,package://cyber_shopper/meshes/front-left-hinge.STL,,wheel_hinge-1,Coordinate System20,Axis25,fl-hinge,revolute,0.254,0.1397,0.0608000000000001,0,0,0,base_link,0,0,-1,0,0,-1,1,,,,,,,,
front-left-wheel,-0.0102182858248703,1.38777878078145E-16,0.0367041773481068,0,0,0,2.43249992415545,0.00755355776923952,1.88640504073853E-18,7.39771592248954E-05,0.00755250482076537,1.95246869510358E-18,0.0127499292164544,0,0,0,0,0,0,package://cyber_shopper/meshes/front-left-wheel.STL,0,0,0,1,0,0,0,0,0,0,package://cyber_shopper/meshes/front-left-wheel.STL,,wheel-6,Coordinate System22,Axis27,fl-wheel,continuous,-0.0102182858248701,-0.0367041773481067,-0.2005,1.5707963267949,0,-3.14159265358979,front-left-hinge,-0.0142319851525261,0,-0.999898720170507,,,,,,,,,,,,
front-right-hinge,-5.55111512312578E-17,0,-0.118799628145585,0,0,0,0.633612488698205,0.00421634076613872,3.80852095203233E-19,-1.06209927949746E-21,0.00245975887674748,-1.06259299540453E-18,0.00202629416547586,0,0,0,0,0,0,package://cyber_shopper/meshes/front-right-hinge.STL,1,1,0,1,0,0,0,0,0,0,package://cyber_shopper/meshes/front-right-hinge.STL,,wheel_hinge-2,Coordinate System21,Axis26,fr-hinge,revolute,0.254,-0.1397,0.0608,0,0,0,base_link,0,0,-1,0,0,-1,1,,,,,,,,
front-right-wheel,-5.55111512312578E-17,2.77555756156289E-17,-0.0381,0,0,0,2.43249992415545,0.00755250482076537,6.00508507818468E-19,8.35496005193151E-19,0.00755250482076537,-3.98615026528919E-18,0.0127509821649285,0,0,0,0,0,0,package://cyber_shopper/meshes/front-right-wheel.STL,0,0,0,1,0,0,0,0,0,0,package://cyber_shopper/meshes/front-right-wheel.STL,,wheel-2,Coordinate System23,Axis28,fr-wheel,continuous,0,-0.0381,-0.2005,1.5707963267949,0,0,front-right-hinge,0,0,-1,,,,,,,,,,,,
rear-left-wheel,0,0,-0.0381,0,0,0,2.43249992415545,0.00755250482076536,-8.23812994843201E-19,-1.50602458021814E-19,0.00755250482076536,2.88296133927474E-19,0.0127509821649285,0,0,0,0,0,0,package://cyber_shopper/meshes/rear-left-wheel.STL,0,0,0,1,0,0,0,0,0,0,package://cyber_shopper/meshes/rear-left-wheel.STL,,wheel-7,Coordinate System24,Axis29,rl-wheel,continuous,-0.254,0.1778,-0.1397,1.5707963267949,0,3.14159265358979,base_link,0,0,-1,,,,,,,,,,,,
rear-right-wheel,0,0,-0.0381,0,0,0,2.43249992415545,0.00755250482076537,1.16151947225978E-18,3.90126123152596E-19,0.00755250482076537,7.17453761935092E-19,0.0127509821649285,0,0,0,0,0,0,package://cyber_shopper/meshes/rear-right-wheel.STL,0,0,0,1,0,0,0,0,0,0,package://cyber_shopper/meshes/rear-right-wheel.STL,,wheel-8,Coordinate System25,Axis30,rr-wheel,continuous,-0.254,-0.1778,-0.1397,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
Lidar,5.55111512312578E-17,-1.60727870924178E-18,-0.0127,0,0,0,0.0128703699690764,1.21091948384887E-06,-5.87747175411144E-39,4.01153705072005E-39,1.21091948384887E-06,-7.78263594347942E-38,1.03793098615617E-06,0,0,0,0,0,0,package://cyber_shopper/meshes/Lidar.STL,0,0,0,1,0,0,0,0,0,0,package://cyber_shopper/meshes/Lidar.STL,,Lidar_1-2,Coordinate System19,Axis24,laser,fixed,0.45,0,0.2262,0,0,0,base_link,0,0,0,,,,,,,,,,,,
ur5_base_link,-0.000370140905738653,-0.000370700027328298,-0.0137144183679095,0,0,0,0.500063495433064,0.000596920259538839,1.75028239429301E-05,1.52109693546543E-06,0.000596946107913878,1.51744540433612E-06,0.00105971155653447,0,0,0,0,0,0,package://cyber_shopper/meshes/ur5_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cyber_shopper/meshes/ur5_base_link.STL,,Base-1,Coordinate System37,Axis41,ur5_base_joint,fixed,0,0,0.31027,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
ur5_shoulder_pan_link,6.44225963477137E-06,-0.0165820948532893,0.0588582173084062,0,0,0,1.55207738052348,0.00260530955829497,4.49007348784211E-07,-1.3128013097067E-07,0.00252490488615463,0.000317687897359079,0.00282675535060953,0,0,0,0,0,0,package://cyber_shopper/meshes/ur5_shoulder_pan_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cyber_shopper/meshes/ur5_shoulder_pan_link.STL,,J1-1,Coordinate System38,Axis41,ur5_shoulder_pan_joint,revolute,0,0,0,0,0,0,ur5_base_link,0,0,1,0,0,-6.28,6.28,,,,,,,,
